Bangkok,Macau,NX0001,480.61
Jacksonville,Philadelphia,US0842,980.46
Lawton,Dallas-FortWorth,AA1035,453.98
Lvov,Treviso,WU0034,878.96
Hannover,Dalaman,DE0134,847.16
Bodrum,Liverpool,U20131,375.05
Aalborg,Amsterdam,AZ0001,229.27
Nairobi,Antananarivo,KQ0128,485.37
SanFrancisco,Dallas-FortWorth,UA1887,783.77
NewYork,Minneapolis,DL0954,377.75
Quito,Bogota,EQ0034,401.32
Tokyo,Honolulu,AA1530,610.62
Namangan,Krasnodar,U60157,323.94
Jeddah,Alexandria,MS0149,1146.02
Keffallinia,Athens,A30099,229.38
Johannesburg,Beira,SA0082,1140.44
Krasnoyarsk,Ulan-ude,Y70038,494.07
Tianjin,Sanya,GS0264,1013.53
BalikesirKorfez,Istanbul,PC0094,732.63
Casablanca,London,AT0075,893.15
Qingdao,Hangzhou,JD0163,578.86
Salvador,PortoSeguro,AD0303,441.12
Milano,NewYork,B60278,280.86
Genoa,Bari,FR1075,888.20
Singapore,Munich,VS0183,671.46
Zurich,Amsterdam,KL0830,878.74
Paris,NewYork,EY0119,478.68
SaoPaulo,RioDeJaneiro,O60028,1165.82
Merimbula,Sydney,ZL0047,452.71
Bangkok,KualaLumpur,AK0031,714.65
Port-vila,Nandi,IE0060,214.87
Baotou,Shijiazhuang,MU0021,970.63
Geneva,Jersey,SI0008,1001.95
PalmadeMallorca,Ibiza,IB0684,472.29
Dubai,Bangalore,EK0075,835.61
Toyama,Seoul,NH0515,677.49
Zunyi,Chengdu,EU0080,462.96
Shanghai,Qingdao,HO0080,1057.89
Pittsburgh,Orlando,DL1591,535.02
Peshawar,Riyadh,PK0194,232.67
Alicante,Oslo,DY0043,477.06
Madrid,Toulouse,IB0564,666.98
Hangzhou,Guangzhou,KL0506,905.24
Nanjing,Guangzhou,CZ0799,1085.95
Hyderabad,Mumbai,9W0193,881.50
Lihue,SanDiego,AS0230,737.30
Dalian,Jining,G50036,1050.91
Quilpie,Charlieville,Q60053,667.17
Xi'an,Nanning,MU1188,995.93
Dushanbe,Orenburg,SZ0015,625.64
StPetersburg,Minsk2,UN0148,976.44
Bern,Vienna,SX0014,419.48
LosAngeles,Edmonton,AA1101,1092.59
Palangkaraya,Jakarta,JT0179,682.20
Sept-iles,LaRomaine,WJ0028,755.96
Busan,Sapporo,KE0231,402.52
Tunis,Sirt,LN0072,659.41
NewYork,Cleveland,UA1277,634.89
Washington,Huntsville,US0389,500.30
Istanbul,Lvov,PC0192,218.84
SanAndresIsland,Cali,CM0003,447.13
Toronto,Boston,AC0590,294.64
London,Aberdeen,IB0405,218.56
Harbin,Manzhouli,3U0161,856.23
Tehran,Yerevan,EP0058,1171.04
Nanjing,Yantai,ZH0415,841.16
Sovetskiy,Moscow,4G0010,894.60
KualaLumpur,Mumbai,9W0231,277.54
Taiz,Jeddah,IY0094,1052.00
London,Wroclaw,FR2184,250.12
Chicago,Tampa,WN0721,1053.38
Stuttgart,Milano,4U0394,958.70
Munster,PalmadeMallorca,AB0226,620.20
PalmerstonNorth,Christchurch,NZ0157,234.08
Barcelona,Beauvais,FR0171,1091.04
Fuzhou,Wuhan,PN0047,950.11
Durango,Dallas-FortWorth,AA0698,839.10
Hohhot,Hangzhou,ZH0228,599.56
Madrid,MexicoCity,AZ0594,861.92
Taif,Cairo,UJ0030,414.66
Newark,Buffalo,UA0544,935.72
Fuzhou,Jakarta,MF0070,1154.13
Delhi,Chandigarh,AI0152,219.57
Amsterdam,EastMidlands,BE0013,1020.99
Siem-reap,HoChiMinhCity,VN0136,940.71
Bodo,Mosjoen,WF0044,390.60
Keffallinia,Amsterdam,HV0091,325.36
Shanghai,Chongqing,HO0093,284.64
Moscow,Catania,AZ0780,1068.95
Tampa,SanAntonio,WN1131,401.11
Shanghai,Chicago,AA1984,315.93
Miami,Frankfurt,UA1382,1038.28
Varanasi,Delhi,6E0223,979.24
Delhi,Hyderabad,SG0075,526.63
London,Pisa,BA0260,1183.76
Hangzhou,Shijiazhuang,KN0020,862.19
Helsinki,Oulu,AY0129,505.06
RioBranco,Brasilia,JJ0281,1174.92
Stuttgart,Fuerteventura,X30197,1198.72
Paris,Cancun,SE0003,895.31
Hanoi,Bangkok,VN0052,405.14
Milwaukee,SanFrancisco,FL0486,976.19
Townsville,Brisbane,QF0414,644.23
Copenhagen,Alicante,VY0185,505.81
Beirut,Basrah,ME0014,523.94
Kanazawa,Fukuoka,FW0017,1069.30
Chongqing,Baise,G50015,1056.00
Tenerife,Stuttgart,X30214,399.75
Chicago,ElPaso,AA1608,1065.75
Paris,NewYork,AF0367,577.06
Munich,Warsaw,LO0043,396.59
Blackpool,Malaga,LS0043,359.57
Taiyuan,Shenzhen,HU0468,428.20
